run set,number of matches,winning result,game master balance,player balance
1:5:4,1,1,99993,100007
2:1:3,1,1,99992,100008
3:1:4,1,1,99991,100009
6:5:2,0,-1,99992,100008
2:5:2,0,-1,99993,100007
2:2:5,0,-1,99994,100006
2:5:6,0,-1,99995,100005
5:1:4,1,1,99994,100006
1:3:1,2,2,99992,100008
3:2:5,0,-1,99993,100007
4:2:1,1,1,99992,100008
3:5:6,0,-1,99993,100007
2:1:2,1,1,99992,100008
4:2:3,0,-1,99993,100007
3:1:1,2,2,99991,100009
5:2:3,0,-1,99992,100008
2:6:1,1,1,99991,100009
2:5:4,0,-1,99992,100008
5:3:1,1,1,99991,100009
1:3:6,1,1,99990,100010
5:4:4,0,-1,99991,100009
1:1:1,3,3,99988,100012
3:5:5,0,-1,99989,100011
4:5:6,0,-1,99990,100010
6:4:2,0,-1,99991,100009
2:1:5,1,1,99990,100010
2:1:3,1,1,99989,100011
5:1:2,1,1,99988,100012
1:1:2,2,2,99986,100014
2:5:4,0,-1,99987,100013
4:4:3,0,-1,99988,100012
3:5:5,0,-1,99989,100011
5:1:5,1,1,99988,100012
1:5:6,1,1,99987,100013
2:4:2,0,-1,99988,100012
1:5:2,1,1,99987,100013
1:4:1,2,2,99985,100015
3:2:2,0,-1,99986,100014
5:2:4,0,-1,99987,100013
2:5:6,0,-1,99988,100012
2:4:5,0,-1,99989,100011
1:6:4,1,1,99988,100012
4:6:3,0,-1,99989,100011
5:3:4,0,-1,99990,100010
2:5:1,1,1,99989,100011
2:6:3,0,-1,99990,100010
3:4:2,0,-1,99991,100009
4:6:6,0,-1,99992,100008
5:3:5,0,-1,99993,100007
6:1:5,1,1,99992,100008
2:5:2,0,-1,99993,100007
1:3:2,1,1,99992,100008
4:5:3,0,-1,99993,100007
3:5:2,0,-1,99994,100006
1:1:4,2,2,99992,100008
6:4:5,0,-1,99993,100007
6:3:1,1,1,99992,100008
1:6:3,1,1,99991,100009
5:2:5,0,-1,99992,100008
4:5:1,1,1,99991,100009
5:1:6,1,1,99990,100010
5:6:4,0,-1,99991,100009
4:4:3,0,-1,99992,100008
6:6:6,0,-1,99993,100007
4:4:4,0,-1,99994,100006
2:1:5,1,1,99993,100007
4:5:5,0,-1,99994,100006
5:2:2,0,-1,99995,100005
1:2:2,1,1,99994,100006
2:4:3,0,-1,99995,100005
4:1:5,1,1,99994,100006
6:1:1,2,2,99992,100008
3:1:2,1,1,99991,100009
3:1:5,1,1,99990,100010
2:1:5,1,1,99989,100011
4:4:5,0,-1,99990,100010
3:3:3,0,-1,99991,100009
5:1:5,1,1,99990,100010
1:3:2,1,1,99989,100011
3:1:4,1,1,99988,100012
3:6:4,0,-1,99989,100011
5:1:4,1,1,99988,100012
5:5:5,0,-1,99989,100011
4:6:6,0,-1,99990,100010
5:5:6,0,-1,99991,100009
5:5:5,0,-1,99992,100008
3:6:3,0,-1,99993,100007
3:6:5,0,-1,99994,100006
6:2:5,0,-1,99995,100005
2:3:2,0,-1,99996,100004
6:6:6,0,-1,99997,100003
4:4:1,1,1,99996,100004
4:4:6,0,-1,99997,100003
6:3:6,0,-1,99998,100002
3:4:2,0,-1,99999,100001
6:4:4,0,-1,100000,100000
2:1:3,1,1,99999,100001
6:4:5,0,-1,100000,100000
2:2:4,0,-1,100001,99999
6:3:2,0,-1,100002,99998
4:3:1,1,1,100001,99999
5:5:4,0,-1,100002,99998
1:5:6,1,1,100001,99999
2:6:3,0,-1,100002,99998
2:6:5,0,-1,100003,99997
4:6:3,0,-1,100004,99996
5:4:5,0,-1,100005,99995
2:1:6,1,1,100004,99996
6:1:3,1,1,100003,99997
5:6:3,0,-1,100004,99996
4:4:2,0,-1,100005,99995
6:5:6,0,-1,100006,99994
6:6:4,0,-1,100007,99993
6:4:3,0,-1,100008,99992
2:3:5,0,-1,100009,99991
4:1:1,2,2,100007,99993
1:3:2,1,1,100006,99994
1:2:3,1,1,100005,99995
1:6:2,1,1,100004,99996
2:6:3,0,-1,100005,99995
1:3:6,1,1,100004,99996
5:4:5,0,-1,100005,99995
3:3:1,1,1,100004,99996
1:2:5,1,1,100003,99997
4:5:6,0,-1,100004,99996
1:5:2,1,1,100003,99997
1:2:4,1,1,100002,99998
1:6:4,1,1,100001,99999
1:2:3,1,1,100000,100000
4:1:3,1,1,99999,100001
1:3:1,2,2,99997,100003
3:6:1,1,1,99996,100004
6:3:1,1,1,99995,100005
1:4:5,1,1,99994,100006
4:4:2,0,-1,99995,100005
4:3:1,1,1,99994,100006
2:3:3,0,-1,99995,100005
6:3:2,0,-1,99996,100004
5:2:6,0,-1,99997,100003
3:2:4,0,-1,99998,100002
5:4:5,0,-1,99999,100001
1:4:2,1,1,99998,100002
2:5:1,1,1,99997,100003
2:3:5,0,-1,99998,100002
2:6:6,0,-1,99999,100001
4:1:4,1,1,99998,100002
3:5:2,0,-1,99999,100001
1:3:3,1,1,99998,100002
3:6:4,0,-1,99999,100001
4:3:3,0,-1,100000,100000
1:1:3,2,2,99998,100002
1:5:6,1,1,99997,100003
4:6:5,0,-1,99998,100002
1:3:5,1,1,99997,100003
1:1:4,2,2,99995,100005
4:3:5,0,-1,99996,100004
4:6:6,0,-1,99997,100003
1:6:2,1,1,99996,100004
5:1:2,1,1,99995,100005
2:2:5,0,-1,99996,100004
6:4:1,1,1,99995,100005
3:3:5,0,-1,99996,100004
5:3:1,1,1,99995,100005
1:6:1,2,2,99993,100007
5:3:4,0,-1,99994,100006
2:3:4,0,-1,99995,100005
2:6:3,0,-1,99996,100004
1:1:5,2,2,99994,100006
2:2:6,0,-1,99995,100005
4:5:2,0,-1,99996,100004
1:4:4,1,1,99995,100005
3:5:3,0,-1,99996,100004
5:4:4,0,-1,99997,100003
2:5:2,0,-1,99998,100002
5:5:2,0,-1,99999,100001
3:2:4,0,-1,100000,100000
6:1:1,2,2,99998,100002
2:3:2,0,-1,99999,100001
2:6:5,0,-1,100000,100000
5:5:3,0,-1,100001,99999
3:3:6,0,-1,100002,99998
1:5:6,1,1,100001,99999
4:6:5,0,-1,100002,99998
4:4:4,0,-1,100003,99997
3:2:5,0,-1,100004,99996
1:4:1,2,2,100002,99998
5:5:1,1,1,100001,99999
2:5:2,0,-1,100002,99998
1:2:3,1,1,100001,99999
5:5:3,0,-1,100002,99998
1:2:1,2,2,100000,100000
3:1:1,2,2,99998,100002
6:4:3,0,-1,99999,100001
3:1:2,1,1,99998,100002
3:2:5,0,-1,99999,100001
1:4:3,1,1,99998,100002
5:2:1,1,1,99997,100003
6:5:3,0,-1,99998,100002
2:1:4,1,1,99997,100003
5:6:6,0,-1,99998,100002
5:5:3,0,-1,99999,100001
1:1:5,2,2,99997,100003
3:2:3,0,-1,99998,100002
4:1:5,1,1,99997,100003
3:5:2,0,-1,99998,100002
6:5:4,0,-1,99999,100001
6:6:5,0,-1,100000,100000
4:4:1,1,1,99999,100001
6:6:3,0,-1,100000,100000
3:3:6,0,-1,100001,99999
1:2:5,1,1,100000,100000
4:1:2,1,1,99999,100001
4:5:4,0,-1,100000,100000
4:6:6,0,-1,100001,99999
6:1:6,1,1,100000,100000
5:4:3,0,-1,100001,99999
6:6:3,0,-1,100002,99998
3:3:3,0,-1,100003,99997
5:2:6,0,-1,100004,99996
2:2:2,0,-1,100005,99995
3:2:6,0,-1,100006,99994
6:4:5,0,-1,100007,99993
6:1:6,1,1,100006,99994
3:1:1,2,2,100004,99996
1:3:4,1,1,100003,99997
1:1:5,2,2,100001,99999
2:5:5,0,-1,100002,99998
1:1:1,3,3,99999,100001
5:4:6,0,-1,100000,100000
3:1:5,1,1,99999,100001
6:6:4,0,-1,100000,100000
6:5:2,0,-1,100001,99999
2:3:4,0,-1,100002,99998
2:1:5,1,1,100001,99999
4:1:5,1,1,100000,100000
4:6:6,0,-1,100001,99999
4:3:6,0,-1,100002,99998
3:5:1,1,1,100001,99999
3:5:6,0,-1,100002,99998
1:5:2,1,1,100001,99999
2:2:4,0,-1,100002,99998
1:4:5,1,1,100001,99999
2:5:1,1,1,100000,100000
3:6:2,0,-1,100001,99999
3:2:6,0,-1,100002,99998
1:4:4,1,1,100001,99999
1:2:3,1,1,100000,100000
1:2:6,1,1,99999,100001
3:1:1,2,2,99997,100003
6:4:1,1,1,99996,100004
1:5:1,2,2,99994,100006
4:2:3,0,-1,99995,100005
2:2:5,0,-1,99996,100004
6:6:2,0,-1,99997,100003
1:3:5,1,1,99996,100004
2:4:3,0,-1,99997,100003
4:6:1,1,1,99996,100004
5:3:1,1,1,99995,100005
6:2:4,0,-1,99996,100004
3:4:3,0,-1,99997,100003
5:1:5,1,1,99996,100004
6:3:4,0,-1,99997,100003
5:4:2,0,-1,99998,100002
5:4:1,1,1,99997,100003
5:5:1,1,1,99996,100004
1:1:1,3,3,99993,100007
6:6:1,1,1,99992,100008
2:4:5,0,-1,99993,100007
1:2:1,2,2,99991,100009
4:5:1,1,1,99990,100010
4:4:5,0,-1,99991,100009
6:5:4,0,-1,99992,100008
5:4:6,0,-1,99993,100007
5:3:4,0,-1,99994,100006
2:5:5,0,-1,99995,100005
2:5:4,0,-1,99996,100004
4:6:6,0,-1,99997,100003
3:1:5,1,1,99996,100004
6:1:1,2,2,99994,100006
5:4:6,0,-1,99995,100005
4:4:5,0,-1,99996,100004
6:5:1,1,1,99995,100005
6:1:4,1,1,99994,100006
5:4:3,0,-1,99995,100005
6:2:2,0,-1,99996,100004
4:2:1,1,1,99995,100005
3:1:6,1,1,99994,100006
3:2:4,0,-1,99995,100005
5:3:5,0,-1,99996,100004
3:1:4,1,1,99995,100005
5:5:6,0,-1,99996,100004
5:1:1,2,2,99994,100006
5:3:5,0,-1,99995,100005
3:2:6,0,-1,99996,100004
2:4:6,0,-1,99997,100003
3:2:5,0,-1,99998,100002
3:5:1,1,1,99997,100003
5:5:2,0,-1,99998,100002
2:1:4,1,1,99997,100003
4:3:4,0,-1,99998,100002
1:3:5,1,1,99997,100003
2:6:4,0,-1,99998,100002
3:4:1,1,1,99997,100003
6:6:2,0,-1,99998,100002
2:3:4,0,-1,99999,100001
6:1:3,1,1,99998,100002
1:6:4,1,1,99997,100003
1:1:4,2,2,99995,100005
2:1:5,1,1,99994,100006
3:4:4,0,-1,99995,100005
4:5:3,0,-1,99996,100004
3:3:6,0,-1,99997,100003
5:6:2,0,-1,99998,100002
1:2:4,1,1,99997,100003
5:5:4,0,-1,99998,100002
2:3:6,0,-1,99999,100001
4:4:3,0,-1,100000,100000
2:3:1,1,1,99999,100001
2:2:5,0,-1,100000,100000
1:2:5,1,1,99999,100001
6:2:2,0,-1,100000,100000
6:2:2,0,-1,100001,99999
6:2:2,0,-1,100002,99998
2:5:1,1,1,100001,99999
3:1:5,1,1,100000,100000
4:6:1,1,1,99999,100001
6:3:5,0,-1,100000,100000
2:6:1,1,1,99999,100001
6:6:2,0,-1,100000,100000
1:3:4,1,1,99999,100001
1:3:5,1,1,99998,100002
6:1:2,1,1,99997,100003
1:4:3,1,1,99996,100004
4:2:1,1,1,99995,100005
6:6:6,0,-1,99996,100004
5:3:1,1,1,99995,100005
3:5:3,0,-1,99996,100004
5:3:4,0,-1,99997,100003
5:4:2,0,-1,99998,100002
2:4:4,0,-1,99999,100001
1:3:6,1,1,99998,100002
2:3:2,0,-1,99999,100001
4:6:4,0,-1,100000,100000
4:3:3,0,-1,100001,99999
2:6:3,0,-1,100002,99998
1:3:6,1,1,100001,99999
2:4:6,0,-1,100002,99998
2:5:2,0,-1,100003,99997
5:6:2,0,-1,100004,99996
1:6:6,1,1,100003,99997
3:3:5,0,-1,100004,99996
1:3:1,2,2,100002,99998
1:4:5,1,1,100001,99999
5:5:3,0,-1,100002,99998
3:3:1,1,1,100001,99999
2:3:2,0,-1,100002,99998
6:4:4,0,-1,100003,99997
4:3:3,0,-1,100004,99996
2:5:1,1,1,100003,99997
3:4:2,0,-1,100004,99996
2:2:2,0,-1,100005,99995
2:6:6,0,-1,100006,99994
3:6:1,1,1,100005,99995
1:6:1,2,2,100003,99997
5:6:4,0,-1,100004,99996
4:6:6,0,-1,100005,99995
1:4:1,2,2,100003,99997
3:1:4,1,1,100002,99998
2:3:4,0,-1,100003,99997
1:3:2,1,1,100002,99998
2:1:6,1,1,100001,99999
6:3:3,0,-1,100002,99998
1:2:4,1,1,100001,99999
6:4:5,0,-1,100002,99998
3:3:6,0,-1,100003,99997
6:1:5,1,1,100002,99998
4:4:5,0,-1,100003,99997
4:1:6,1,1,100002,99998
6:4:2,0,-1,100003,99997
1:5:6,1,1,100002,99998
3:1:1,2,2,100000,100000
2:6:5,0,-1,100001,99999
5:5:1,1,1,100000,100000
6:4:5,0,-1,100001,99999
3:4:6,0,-1,100002,99998
2:4:1,1,1,100001,99999
5:6:1,1,1,100000,100000
6:4:6,0,-1,100001,99999
1:4:2,1,1,100000,100000
6:5:3,0,-1,100001,99999
4:4:3,0,-1,100002,99998
2:6:5,0,-1,100003,99997
2:5:4,0,-1,100004,99996
5:2:4,0,-1,100005,99995
4:2:1,1,1,100004,99996
6:6:4,0,-1,100005,99995
4:4:4,0,-1,100006,99994
3:2:6,0,-1,100007,99993
2:5:2,0,-1,100008,99992
5:4:6,0,-1,100009,99991
3:4:4,0,-1,100010,99990
2:5:3,0,-1,100011,99989
6:6:1,1,1,100010,99990
2:6:6,0,-1,100011,99989
6:1:3,1,1,100010,99990
5:6:6,0,-1,100011,99989
5:5:6,0,-1,100012,99988
3:1:4,1,1,100011,99989
4:1:3,1,1,100010,99990
4:2:6,0,-1,100011,99989
5:5:2,0,-1,100012,99988
5:4:2,0,-1,100013,99987
2:6:5,0,-1,100014,99986
6:3:6,0,-1,100015,99985
3:1:2,1,1,100014,99986
1:2:4,1,1,100013,99987
2:5:2,0,-1,100014,99986
3:4:4,0,-1,100015,99985
3:5:4,0,-1,100016,99984
6:1:6,1,1,100015,99985
1:6:2,1,1,100014,99986
4:3:6,0,-1,100015,99985
2:2:2,0,-1,100016,99984
5:3:6,0,-1,100017,99983
6:4:3,0,-1,100018,99982
2:2:6,0,-1,100019,99981
2:5:6,0,-1,100020,99980
3:6:5,0,-1,100021,99979
2:4:6,0,-1,100022,99978
5:6:3,0,-1,100023,99977
2:2:4,0,-1,100024,99976
4:1:2,1,1,100023,99977
5:6:2,0,-1,100024,99976
6:4:4,0,-1,100025,99975
6:4:2,0,-1,100026,99974
2:1:5,1,1,100025,99975
6:2:1,1,1,100024,99976
2:6:3,0,-1,100025,99975
2:4:1,1,1,100024,99976
2:6:4,0,-1,100025,99975
4:2:4,0,-1,100026,99974
5:6:5,0,-1,100027,99973
1:5:6,1,1,100026,99974
5:4:1,1,1,100025,99975
6:4:1,1,1,100024,99976
1:2:2,1,1,100023,99977
5:4:1,1,1,100022,99978
2:2:1,1,1,100021,99979
4:1:1,2,2,100019,99981
3:1:1,2,2,100017,99983
5:6:2,0,-1,100018,99982
3:1:6,1,1,100017,99983
4:6:3,0,-1,100018,99982
6:1:2,1,1,100017,99983
5:5:1,1,1,100016,99984
2:2:3,0,-1,100017,99983
6:5:5,0,-1,100018,99982
3:3:1,1,1,100017,99983
2:3:3,0,-1,100018,99982
6:3:6,0,-1,100019,99981
6:2:2,0,-1,100020,99980
2:5:2,0,-1,100021,99979
6:4:6,0,-1,100022,99978
6:2:5,0,-1,100023,99977
4:2:3,0,-1,100024,99976
3:1:2,1,1,100023,99977
3:2:1,1,1,100022,99978
6:6:6,0,-1,100023,99977
4:6:1,1,1,100022,99978
5:3:5,0,-1,100023,99977
2:6:3,0,-1,100024,99976
2:4:5,0,-1,100025,99975
2:4:6,0,-1,100026,99974
5:4:4,0,-1,100027,99973
2:2:6,0,-1,100028,99972
4:5:6,0,-1,100029,99971
1:1:2,2,2,100027,99973
3:5:1,1,1,100026,99974
6:2:3,0,-1,100027,99973
1:4:3,1,1,100026,99974
1:1:2,2,2,100024,99976
2:2:6,0,-1,100025,99975
1:3:5,1,1,100024,99976
1:4:5,1,1,100023,99977
5:3:5,0,-1,100024,99976
2:3:2,0,-1,100025,99975
1:3:2,1,1,100024,99976
4:5:1,1,1,100023,99977
2:4:3,0,-1,100024,99976
4:4:3,0,-1,100025,99975
3:4:2,0,-1,100026,99974
4:2:5,0,-1,100027,99973
4:5:2,0,-1,100028,99972
6:6:2,0,-1,100029,99971
5:3:2,0,-1,100030,99970
6:3:5,0,-1,100031,99969
4:2:5,0,-1,100032,99968
5:3:4,0,-1,100033,99967
6:1:2,1,1,100032,99968
3:3:4,0,-1,100033,99967
6:6:4,0,-1,100034,99966
2:3:3,0,-1,100035,99965
1:5:3,1,1,100034,99966
2:5:5,0,-1,100035,99965
3:1:4,1,1,100034,99966
3:4:1,1,1,100033,99967
1:1:6,2,2,100031,99969
6:4:6,0,-1,100032,99968
5:5:1,1,1,100031,99969
2:6:5,0,-1,100032,99968
4:6:6,0,-1,100033,99967
1:3:1,2,2,100031,99969
2:6:6,0,-1,100032,99968
5:2:4,0,-1,100033,99967
4:2:4,0,-1,100034,99966
3:3:6,0,-1,100035,99965
2:4:3,0,-1,100036,99964
2:2:4,0,-1,100037,99963
6:1:3,1,1,100036,99964
5:1:1,2,2,100034,99966
6:1:3,1,1,100033,99967
4:5:2,0,-1,100034,99966
6:4:4,0,-1,100035,99965
1:5:4,1,1,100034,99966
5:2:1,1,1,100033,99967
4:4:2,0,-1,100034,99966
4:5:1,1,1,100033,99967
2:1:2,1,1,100032,99968
1:1:1,3,3,100029,99971
4:5:6,0,-1,100030,99970
5:5:4,0,-1,100031,99969
3:4:2,0,-1,100032,99968
5:3:3,0,-1,100033,99967
6:5:4,0,-1,100034,99966
3:3:4,0,-1,100035,99965
2:5:3,0,-1,100036,99964
1:6:4,1,1,100035,99965
1:1:6,2,2,100033,99967
4:1:3,1,1,100032,99968
6:6:6,0,-1,100033,99967
2:3:1,1,1,100032,99968
2:2:4,0,-1,100033,99967
5:6:3,0,-1,100034,99966
3:4:2,0,-1,100035,99965
6:2:1,1,1,100034,99966
6:3:2,0,-1,100035,99965
6:1:6,1,1,100034,99966
6:4:5,0,-1,100035,99965
1:6:1,2,2,100033,99967
4:4:1,1,1,100032,99968
5:3:6,0,-1,100033,99967
4:3:5,0,-1,100034,99966
4:3:3,0,-1,100035,99965
4:3:4,0,-1,100036,99964
5:3:4,0,-1,100037,99963
5:5:4,0,-1,100038,99962
4:6:4,0,-1,100039,99961
1:1:2,2,2,100037,99963
5:4:6,0,-1,100038,99962
4:2:3,0,-1,100039,99961
4:4:5,0,-1,100040,99960
2:5:2,0,-1,100041,99959
2:4:1,1,1,100040,99960
3:2:4,0,-1,100041,99959
5:3:4,0,-1,100042,99958
3:1:5,1,1,100041,99959
2:3:2,0,-1,100042,99958
6:1:6,1,1,100041,99959
5:4:5,0,-1,100042,99958
2:4:3,0,-1,100043,99957
3:4:6,0,-1,100044,99956
4:5:3,0,-1,100045,99955
5:2:5,0,-1,100046,99954
6:2:2,0,-1,100047,99953
3:6:4,0,-1,100048,99952
1:5:5,1,1,100047,99953
1:1:2,2,2,100045,99955
3:3:6,0,-1,100046,99954
5:3:1,1,1,100045,99955
6:6:6,0,-1,100046,99954
4:6:3,0,-1,100047,99953
1:1:5,2,2,100045,99955
2:3:5,0,-1,100046,99954
5:3:1,1,1,100045,99955
1:2:6,1,1,100044,99956
2:1:3,1,1,100043,99957
3:4:3,0,-1,100044,99956
3:4:1,1,1,100043,99957
5:3:6,0,-1,100044,99956
2:2:6,0,-1,100045,99955
1:5:5,1,1,100044,99956
5:6:2,0,-1,100045,99955
3:1:4,1,1,100044,99956
6:4:5,0,-1,100045,99955
2:1:2,1,1,100044,99956
5:2:3,0,-1,100045,99955
5:1:1,2,2,100043,99957
3:6:6,0,-1,100044,99956
1:1:1,3,3,100041,99959
5:6:3,0,-1,100042,99958
4:3:2,0,-1,100043,99957
3:5:2,0,-1,100044,99956
6:1:1,2,2,100042,99958
4:5:4,0,-1,100043,99957
2:4:4,0,-1,100044,99956
3:4:3,0,-1,100045,99955
5:4:5,0,-1,100046,99954
6:2:2,0,-1,100047,99953
1:3:1,2,2,100045,99955
3:1:6,1,1,100044,99956
4:4:4,0,-1,100045,99955
5:6:5,0,-1,100046,99954
2:5:2,0,-1,100047,99953
3:2:4,0,-1,100048,99952
6:5:3,0,-1,100049,99951
2:5:1,1,1,100048,99952
5:5:3,0,-1,100049,99951
1:6:6,1,1,100048,99952
1:3:3,1,1,100047,99953
5:1:1,2,2,100045,99955
4:3:6,0,-1,100046,99954
3:2:4,0,-1,100047,99953
5:3:1,1,1,100046,99954
3:2:6,0,-1,100047,99953
2:1:4,1,1,100046,99954
3:3:6,0,-1,100047,99953
3:1:1,2,2,100045,99955
2:1:2,1,1,100044,99956
5:2:5,0,-1,100045,99955
2:5:3,0,-1,100046,99954
4:2:2,0,-1,100047,99953
4:2:3,0,-1,100048,99952
5:4:6,0,-1,100049,99951
6:6:4,0,-1,100050,99950
1:4:3,1,1,100049,99951
6:4:1,1,1,100048,99952
5:1:3,1,1,100047,99953
4:6:3,0,-1,100048,99952
4:3:5,0,-1,100049,99951
1:3:2,1,1,100048,99952
6:6:4,0,-1,100049,99951
6:4:1,1,1,100048,99952
6:2:3,0,-1,100049,99951
6:6:6,0,-1,100050,99950
6:1:4,1,1,100049,99951
2:3:6,0,-1,100050,99950
2:5:3,0,-1,100051,99949
3:3:6,0,-1,100052,99948
1:5:6,1,1,100051,99949
4:1:4,1,1,100050,99950
3:6:1,1,1,100049,99951
5:2:2,0,-1,100050,99950
2:2:2,0,-1,100051,99949
5:1:6,1,1,100050,99950
6:4:4,0,-1,100051,99949
3:4:5,0,-1,100052,99948
4:4:2,0,-1,100053,99947
5:2:5,0,-1,100054,99946
2:4:5,0,-1,100055,99945
1:2:2,1,1,100054,99946
6:1:1,2,2,100052,99948
3:5:4,0,-1,100053,99947
4:1:2,1,1,100052,99948
1:2:5,1,1,100051,99949
1:2:5,1,1,100050,99950
3:6:6,0,-1,100051,99949
3:3:3,0,-1,100052,99948
3:2:2,0,-1,100053,99947
5:2:5,0,-1,100054,99946
3:4:1,1,1,100053,99947
2:6:3,0,-1,100054,99946
6:5:3,0,-1,100055,99945
4:6:3,0,-1,100056,99944
6:4:4,0,-1,100057,99943
1:6:5,1,1,100056,99944
1:2:2,1,1,100055,99945
5:4:2,0,-1,100056,99944
5:5:3,0,-1,100057,99943
5:1:4,1,1,100056,99944
4:4:6,0,-1,100057,99943
3:5:3,0,-1,100058,99942
1:2:4,1,1,100057,99943
4:1:2,1,1,100056,99944
2:4:2,0,-1,100057,99943
6:2:4,0,-1,100058,99942
5:1:5,1,1,100057,99943
5:6:4,0,-1,100058,99942
4:6:3,0,-1,100059,99941
2:4:2,0,-1,100060,99940
6:4:5,0,-1,100061,99939
4:2:5,0,-1,100062,99938
1:5:6,1,1,100061,99939
4:1:5,1,1,100060,99940
3:4:1,1,1,100059,99941
3:5:3,0,-1,100060,99940
3:5:2,0,-1,100061,99939
1:6:6,1,1,100060,99940
5:6:6,0,-1,100061,99939
1:5:1,2,2,100059,99941
5:6:1,1,1,100058,99942
4:1:6,1,1,100057,99943
1:1:5,2,2,100055,99945
4:5:1,1,1,100054,99946
4:6:6,0,-1,100055,99945
6:1:6,1,1,100054,99946
4:1:3,1,1,100053,99947
3:4:5,0,-1,100054,99946
1:1:5,2,2,100052,99948
4:2:2,0,-1,100053,99947
2:4:1,1,1,100052,99948
4:2:6,0,-1,100053,99947
1:4:5,1,1,100052,99948
2:2:5,0,-1,100053,99947
6:6:6,0,-1,100054,99946
6:6:4,0,-1,100055,99945
2:5:5,0,-1,100056,99944
6:5:2,0,-1,100057,99943
5:3:6,0,-1,100058,99942
2:2:3,0,-1,100059,99941
4:1:4,1,1,100058,99942
3:2:4,0,-1,100059,99941
1:3:2,1,1,100058,99942
2:5:5,0,-1,100059,99941
2:6:5,0,-1,100060,99940
2:1:3,1,1,100059,99941
6:2:2,0,-1,100060,99940
5:1:2,1,1,100059,99941
6:6:6,0,-1,100060,99940
3:2:3,0,-1,100061,99939
6:3:4,0,-1,100062,99938
3:2:1,1,1,100061,99939
